연번,시군구,중개업소구분,중개업자명,중개업소명,사무소주소,위도,경도,데이터기준일자
93,중구,공인중개사,이국상,한강공인중개사사무소,"부산광역시 중구 구덕로 56, 4층",35.09828902,129.0295315,2022-01-14
94,중구,공인중개사,박성국,조은부동산중개,"부산광역시 중구 광복로 47-1, 4층",35.09938199,129.0303240,2022-01-14
95,중구,공인중개사,이승훈,안단테공인중개사사무소,"부산광역시 중구 중앙대로41번길 4, 205호",35.10131676,129.0359861,2022-01-14
96,중구,공인중개사,박영기,돈돈공인중개사사무소,"부산광역시 중구 흑교로17번길 17, 외2필지 1층 101호",35.10099168,129.0233356,2022-01-14
97,중구,공인중개사,강창신,지평선공인중개사사무소,"부산광역시 중구 광복로 20, 3층",35.09931898,129.0271315,2022-01-14
98,중구,공인중개사,서주리,가람부동산공인중개사사무소,"부산광역시 중구 흑교로 43, 1층",35.10335759,129.0249666,2022-01-14
99,중구,공인중개사,조창래,리치공인중개사사무소,"부산광역시 중구 광복로 52, 4층",35.09909021,129.0307152,2022-01-14
100,중구,공인중개사,이경인,화목공인중개사사무소,"부산광역시 중구 해관로 63, 3층 302호",35.10454005,129.0353688,2022-01-14
101,중구,공인중개사,김대현,뷰공인중개사사무소,"부산광역시 중구 대청로 54-2, 1층",35.10295349,129.0258500,2022-01-14
102,중구,공인중개사,김영동,김영동공인중개사사무소,"부산광역시 중구 구덕로 17, 3층",35.09738863,129.0336441,2022-01-14
103,중구,공인중개사,김유민,두인공인중개사사무소,"부산광역시 중구 자갈치로 42, 4층 9호",35.09671891,129.0286673,2022-01-14
104,중구,공인중개사,천성영,금동공인중개사사무소,"부산광역시 중구 영주로 59, 동아아파트 상가 101호",35.11260762,129.0300848,2022-01-14
105,중구,공인중개사,원종수,헬로우공인중개사사무소,"부산광역시 중구 중구로29번길 7, 1층",35.10034359,129.0274844,2022-01-14
106,중구,공인중개사,전익찬,한빛부동산중개사무소,"부산광역시 중구 광복로 80, 4층",35.09838119,129.0335250,2022-01-14
107,중구,공인중개사,유범열,대길공인중개사사무소,"부산광역시 중구 보수대로44번길 30, 1층",35.10303246,129.0239754,2022-01-14
108,중구,공인중개사,송호준,타워부동산공인중개사사무소,"부산광역시 중구 대청로 117, 3층",35.10299380,129.0327716,2022-01-14
109,중구,공인중개사,김숙희,KS부동산공인중개사사무소,"부산광역시 중구 보수대로140번길 65, 1층",35.10596460,129.0247360,2022-01-14
110,중구,공인중개사,정수진,노블리안2공인중개사사무소,"부산광역시 중구 중앙대로 80, 408호",35.10477196,129.0367099,2022-01-14
111,중구,공인중개사,강성문,엘마르공인중개사사무소,"부산광역시 중구 대교로 157, 서린엘마르센트로뷰 1층 102호",35.10410086,129.0371841,2022-01-14
112,중구,공인중개사,주광회,중앙동서린엘마르공인중개사사무소,"부산광역시 중구 대교로 157, 서린엘마르센트로뷰 1층 102호",35.10410086,129.0371841,2022-01-14
113,중구,공인중개사,김여진,퀸공인중개사사무소,"부산광역시 중구 대교로 157, 서린엘마르센트로뷰 1층 102호",35.10410086,129.0371841,2022-01-14
114,중구,공인중개사,정미옥,경성부동산공인중개사사무소,"부산광역시 중구 중앙대로20번길 3, 3층 302호",35.09946824,129.0371143,2022-01-14
115,중구,공인중개사,양진숙,부귀영화공인중개사사무소,부산광역시 중구 대청로 22-1,35.10310964,129.0223091,2022-01-14
