연변,시군구,중개업소명,위도,경도
251,부산진구,청우공인중개사사무소,35.1734833,129.0731403
252,부산진구,리더스공인중개사사무소,35.15881024,129.0545076
253,부산진구,경신공인중개사사무소,35.16092875,129.0657967
254,부산진구,스타부동산중개사무소,35.1755543,129.0703351
255,부산진구,비전컨설팅공인중개사사무소,35.15430984,129.0589165
256,부산진구,다유부동산중개,35.14979927,129.0582982
257,부산진구,명문공인중개사사무소,35.15462386,129.0621692
258,부산진구,양정부동산공인중개사사무소,35.17233934,129.0699965
259,부산진구,푸른2공인중개사사무소,35.17762356,129.0470989
260,부산진구,신가야공인중개사사무소,35.15563624,129.0400557
261,부산진구,비스타동원공인중개사사무소,35.15563624,129.0400557
262,부산진구,진공인중개사사무소,35.15459237,129.0606213
263,부산진구,삼한파크부동산중개,35.166172,129.0650968
264,부산진구,써니공인중개사사무소,35.16824518,129.0630491
265,부산진구,굿모닝부동산중개,35.17502483,129.0771785
266,부산진구,데시앙공인중개사사무소,35.1509768,129.057644
267,부산진구,해비치공인중개사사무소,35.17883601,129.0528014
268,부산진구,더샵위드부동산중개,35.15184593,129.0603003
269,부산진구,부암로타리부동산중개,35.16762139,129.0508783
270,부산진구,서면힐스테이트공인중개사사무소,35.14943396,129.0639784
271,부산진구,보광시티공인중개사사무소,35.17792598,129.0722546
272,부산진구,명인부동산공인중개사사무소,35.15893988,129.0592729
273,부산진구,하마부동산중개,35.17300805,129.0728596
274,부산진구,신세계부동산중개사무소,35.15808586,129.0548824
275,부산진구,서면데시앙부동산중개,35.1511305,129.0575911
276,부산진구,항도공인중개사사무소,35.15995432,129.0587153
277,부산진구,금당공인중개사사무소,35.15083397,129.029261
278,부산진구,김영해공인중개사사무소,35.16435051,129.0517802
279,부산진구,아이온부동산공인중개사사무소,35.1567466,129.0575432
280,부산진구,B&H넘버원부동산공인중개사사무소,35.15831463,129.0544903
281,부산진구,롯데골드부동산중개,35.17354152,129.0322701
282,부산진구,경남부동산중개사무소,35.14508512,129.0562179
